Structure, Text
"SEC. 51A-7.102_18","(18)   INTERSECTION means the junctions of the centerlines of any two public rights-of-way, other than alleyways, crossing at grade, or, where the crossing is separated at grade, the intersection is the point where expressway travel pavements converge or diverge, or the point where any expressway interchange ramp intersects the expressway travel pavement. For purposes of this definition, the term “expressway” includes “new expressway.”"
"SEC. 51A-7.102_19","(19)   LUMINANCE means the brightness of a sign or a portion thereof expressed in terms of footlamberts. For purposes of this article, luminance is determined by the use of an exposure meter calibrated to standards established by the National Bureau of Standards and equipped with a footlambert scale."
"SEC. 51A-7.102_20","(20)   MOVEMENT CONTROL SIGN means a sign that directs vehicular or pedestrian movement within or onto the premise on which the movement control sign is located."
"SEC. 51A-7.102_20_1","(20.1)   NEW EXPRESSWAY means a divided highway with full control of access whose original mainlanes in the city of Dallas were not entirely open to the public as of July 1, 1999. The President George Bush Turnpike (State Highway 190) is a new expressway under this definition."
"SEC. 51A-7.102_21","(21)   NON-BUSINESS ZONING DISTRICT means any zoning district not designated as a business district as defined in this section. Any parking district may be specifically designated a business zoning district for the purposes of this article."
"SEC. 51A-7.102_22","(22)   NONCOMMERCIAL MESSAGE means any message that is not a commercial message."
"SEC. 51A-7.102_23","(23)   NON-PREMISE SIGN means any sign that is not a premise sign."
"SEC. 51A-7.102_24","(24)   OCCUPANCY means the purpose for which a building is used or intended to be used. The term also includes the building or room housing such use."
"SEC. 51A-7.102_25","(25)   ONE SIGN means any number of detached signs structurally connected above grade."
"SEC. 51A-7.102_26","(26)   PORTABLE SIGN means any sign that is not securely connected to the ground in such a way that it cannot easily be moved from one location to another and that is not an attached sign, vehicular sign, or a sign that refers solely to the sale or lease of the premises."
"SEC. 51A-7.102_27","(27)   PREMISE means a lot or unplatted tract that is reflected in the plat books of the building inspection division of the city. Refer to Section 51A-7.208 of this article."
"SEC. 51A-7.102_28","(28)   PREMISE SIGN means any sign the content of which relates to the premises on which it is located, referring exclusively to the following:"
"SEC. 51A-7.102_28_1","(A)   the name of the owner or occupant of the premises, or the identification of the premises;"
"SEC. 51A-7.102_28_2","(B)   accommodations, services, or activities offered or conducted on the premises;"
"SEC. 51A-7.102_28_3","(C)   products sold, other than incidentally, on the premises if no more than 70 percent of the sign is devoted to the advertisement of products by brand name or symbol; or"
"SEC. 51A-7.102_28_4","(D)   the sale, lease, or construction of the premises."
"SEC. 51A-7.102_29","(29)   PRIVATE PROPERTY means any property not dedicated to public use, except that “private property” does not include the following:"
"SEC. 51A-7.102_29_1","(A)   A private street or alley."
"SEC. 51A-7.102_29_2","(B)   For purposes of interpreting Chapter 51, property on which a utility and services use, post office, refuse transfer station, or sanitary landfill is being conducted as a main use. For purposes of interpreting Chapter 51A, property on which a utility and public service use listed in Section 51A-4.212 is being conducted as a main use."
"SEC. 51A-7.102_29_3","(C)   A railroad right-of-way."
"SEC. 51A-7.102_29_4","(D)   A cemetery or mausoleum."
"SEC. 51A-7.102_30","(30)   PROTECTIVE SIGN means any sign that is commonly associated with safeguarding the permitted uses of the occupancy, including, but not limited to “bad dog,” “no trespassing,” and “no solicitors.”"
"SEC. 51A-7.102_30_1","(30.1)   RESIDENTIAL ZONING DISTRICT means:"
"SEC. 51A-7.102_30_1_1","(A)   an A(A), R(A), D(A), TH(A), CH, MF(A), or MH(A) zoning district; or"
"SEC. 51A-7.102_30_1_2","(B)   any identifiable portion of a special purpose, conservation, or planned development district (such as a subarea or subdistrict) that allows single family, duplex, manufactured home, multifamily (multiple family), or retirement housing uses."
"SEC. 51A-7.102_30_2","(30.2)   SAFE  SCHOOL  ZONE  SIGN  means  a government sign:"
"SEC. 51A-7.102_30_2_1","(A)   to be placed in the public right-of-way at the direction of a school district;"
"SEC. 51A-7.102_30_2_2","(B)   indicating a safe school hotline number, or an alcohol-free, gun-free, or drug-free zone for a school; and"
"SEC. 51A-7.102_30_2_3","(C)   erected to give notice of these zones in order to aid in the enforcement of state or federal laws involving violation of certain crimes in proximity of a school."
"SEC. 51A-7.102_31","(31)   SETBACK means the distance between a sign and the nearest public right-of-way line. An alley is not considered to be public right-of-way for the purpose of calculating a setback. Where a public way crosses a railroad right-of-way, the setback is measured from the public right-of-way line extended across the railroad right-of-way."
"SEC. 51A-7.102_32","(32)   SIGN means any device, flag, light, figure, picture, letter, word, message, symbol, plaque, poster, display, design, painting, drawing, billboard, wind device, or other thing visible from outside the premise on which it is located and that is designed, intended, or used to inform or advertise to persons not on that premise. This definition does not include:"
"SEC. 51A-7.102_32_1","(A)   searchlights and landscape features that display no words or symbols;"
"SEC. 51A-7.102_32_2","(B)   works of art that are not designed, intended or used to advertise; or"
"SEC. 51A-7.102_32_3","(C)   temporary holiday decorations."
"SEC. 51A-7.102_33","(33)   SIGN SUPPORT means any pole, post, strut, cable, or other structural fixture or framework necessary to hold and secure a sign, providing that said fixture or framework is not imprinted with any picture, symbol or word using characters in excess of one inch in height, nor is internally or decoratively illuminated."
"SEC. 51A-7.102_34","(34)   SPECIAL PURPOSE SIGN means a sign temporarily supplementing the permanent signs on a premise."
"SEC. 51A-7.102_34_1","(34.1) SUBDIVISION SIGN means a sign that identifies a single family, duplex, or townhouse residential neighborhood or a business park."
"SEC. 51A-7.102_35","(35)   VEHICULAR SIGN means any sign on a vehicle moving along the ground or on any vehicle parked temporarily, incidental to its principal use for transportation. This definition does not include signs that are being transported to a site of permanent erection."
"SEC. 51A-7.102_36","(36)   WIND DEVICE means any flag, banner, pennant, streamer, or similar device that moves freely in the wind. All wind devices are considered to be signs, and are regulated and classified as attached or detached, by the same rules as other signs."
"SEC. 51A-7.102_37","(37)   WORD:  For purposes of this article, each of the following is considered to be one word:"
"SEC. 51A-7.102_37_1","(A)   Any word in any language found in any standard unabridged dictionary or dictionary of slang."
"SEC. 51A-7.102_37_2","(B)   Any proper noun or any initial or series of initials."
"SEC. 51A-7.102_37_3","(C)   Any separate character, symbol, or abbreviation, such as “&”, “$”, “%”, and “Inc.”."
"SEC. 51A-7.102_37_4","(D)   Any telephone number, street number, or commonly used, combination of numerals and/or symbols such as “$5.00"", or “50%”."
"SEC. 51A-7.102_37_5","(E)   Any symbol or logo that is a registered trademark, but which itself contains no word or character. (Ord. Nos. 19455; 19786; 20343; 20379; 20927; 21186; 21401; 22061; 22392; 24232; 25047; 25455; 27516)"
"SEC. 51A-7.201","APPLICATION OF DIVISION."
"SEC. 51A-7.201_1","The provisions of this division shall apply to all signs in the city, without regard to zoning.  (Ord. Nos. 19455; 20359)"
"SEC. 51A-7.202","IMITATION OF TRAFFIC AND EMERGENCY SIGNS PROHIBITED."
"SEC. 51A-7.202_1","No person shall cause to be erected or maintained any sign using any combination of forms, words, colors, or lights, which imitate standard public traffic regulatory, emergency signs, or signals.  (Ord. 19455)"
"SEC. 51A-7.203","ROOF AND RIGHT-OF- WAY SIGNS."
"SEC. 51A-7.203_1","(a)   No sign shall be located on a roof or project over a building, except as provided in Section 51A-7.305."
"SEC. 51A-7.203_2","(b)   No sign shall be located within or project over any public right-of-way, or across the public right-of-way line extended across a railroad right-of-way, except:"
"SEC. 51A-7.203_2_1","(1)   Signs attached to and projecting no more than 18 inches from a building wall legally located at or near the right-of-way line."
"SEC. 51A-7.203_2_2","(2)   Subdivision signs that comply with the requirements of Section 51A-7.303, “General Provisions Applicable to Signs in Business Zoning Districts,” or Section 51A-7.402, “General Provisions Applicable to Signs in Non-Business Zoning Districts.”"
"SEC. 51A-7.203_3","(c)   Whenever any sign is located in violation of Subsection (b), it is prima facie evidence that the person whose address or telephone number is listed on the sign, or who is otherwise named, described, or identified on the sign, is the person who committed the violation, either personally or through an agent or employee."
"SEC. 51A-7.203_4","(d)   It is a defense to prosecution under Subsection (b) that the sign was authorized or required by another city ordinance, state law, or federal law.  (Ord. Nos. 19455; 20359; 20927; 25455; 26512)"
"SEC. 51A-7.204","OTHER CODES NOT IN CONFLICT, APPLICABLE."
"SEC. 51A-7.204_1","All signs erected or maintained pursuant to the provisions of this article shall be erected and maintained in compliance with all applicable state laws and with the building code, electrical code, and other applicable ordinances of the city. In the event of conflict between this article and other laws, the most restrictive standard applies.  (Ord. 19455)"
"SEC. 51A-7.205","ATHLETIC FIELD SIGNS, PORTABLE SIGNS, SPECIAL PURPOSE SIGNS, MOVEMENT CONTROL SIGNS, AND PROTECTIVE SIGNS."
"SEC. 51A-7.205_1","(a)   Non-premise athletic field signs."
"SEC. 51A-7.205_1_1","(1)   Non-premise athletic field signs are permitted only in special provision sign districts."
"SEC. 51A-7.205_1_2","(2)   Non-premise athletic field signs must be on the same premise as the athletic field and be attached to a scoreboard or the inside of a fence surrounding the field. All signs must be oriented toward the field or its seating areas."
"SEC. 51A-7.205_1_3","(3)   The cumulative effective area of all non-premise athletic field signs attached to a scoreboard may not exceed 240 square feet."
"SEC. 51A-7.205_2","(b)   Portable signs.  Portable signs, as that term is defined in Section 51A-7.102, are prohibited."
"SEC. 51A-7.205_3","(c)   Reserved."
"SEC. 51A-7.205_4","(d)   Reserved."
"SEC. 51A-7.205_5","(e)   Movement control signs.  Movement control signs may be erected at any occupancy or on any premise, other than a single-family or duplex premise, may be attached or detached, and may be erected without limit as to number, provided, that such signs shall comply with all other applicable requirements of this article. No setback is required for a detached movement control sign that does not exceed two feet in height. Unless granted a variance under the provisions of Section 51A-7.703, the occupant of a premise may erect a movement control sign only if the sign:"
"SEC. 51A-7.205_5_1","(1)   does not exceed two square feet in effective area;"
"SEC. 51A-7.205_5_2","(2)   conveys a message which directs vehicular or pedestrian movement within or onto the premise on which the sign is located;"
"SEC. 51A-7.205_5_3","(3)   contains  no  advertising  or identification message; and"
"SEC. 51A-7.205_5_4","(4)   has words that do not exceed four inches in height if the sign is an attached sign."
"SEC. 51A-7.205_6","(f)   Protective signs.  The occupant of a premise may erect not more than two protective signs, in accordance with the following provisions:"
"SEC. 51A-7.205_6_1","(1)   Each sign must not exceed 100 square inches in effective area."
"SEC. 51A-7.205_6_2","(2)   Detached signs must not exceed two feet in height."
"SEC. 51A-7.205_6_3","(3)   Letters must not exceed four inches in height. (Ord. Nos. 19455; 20927; 21798; 21855; 21978; 24232; 27253)"
"SEC. 51A-7.206","VEHICULAR SIGNS."
"SEC. 51A-7.206_1","Vehicular signs shall conform to the following restrictions:"
"SEC. 51A-7.206_1","(a)   Vehicular signs shall contain no flashing or moving elements."
"SEC. 51A-7.206_2","(b)   Vehicular signs shall have no element with a luminance greater 200 footlamberts."
"SEC. 51A-7.206_3","(c)   Vehicular signs shall not project beyond the surface of a vehicle for a distance in excess of 8 inches."
"SEC. 51A-7.206_4","(d)   Vehicular signs shall not be attached to a vehicle so that the driver’s vision is obstructed from any angle."
"SEC. 51A-7.206_5","(e)   Signs, lights and signals used by authorized emergency vehicles shall not be restricted."
"SEC. 51A-7.206_6","(f)   Vehicular signs shall conform to all the regulations for detached signs if:"
"SEC. 51A-7.206_6_1","(1)   the vehicular sign is so placed as to constitute a “sign” as defined in Section 51A-7.102; and"
"SEC. 51A-7.206_6_2","(2)   the vehicle upon which the sign is located is parked on other than a temporary basis."
"SEC. 51A-7.206_7","(g)   The owner of the vehicle upon which a vehicular sign is placed is responsible for ensuring that the provisions of this section are adhered to and commits an offense if any vehicular sign on his vehicle violates this section. If such a vehicleis found unattended or unoccupied, the registered owner of the vehicle shall be presumed to be the actual owner. The records of the state highway department or the county highway license department showing the name of the registered owner of such vehicle shall constitute prima facie evidence of actual ownership by the named individual.  (Ord. 19455)"
"SEC. 51A-7.207","GOVERNMENT SIGNS."
"SEC. 51A-7.207_1","(a)   Except as provided by Subsection (b), nothing in this article shall be construed to regulate the display of a government sign."
"SEC. 51A-7.207_2","(b)   Safe school zone signs must satisfy the following requirements."
"SEC. 51A-7.207_2_1","(1)   Safe school zone signs must be erected within 600 feet of a school."
"SEC. 51A-7.207_2_2","(2)   Safe school zone signs may not exceed five square feet in effective area."
"SEC. 51A-7.207_2_3","(3)   No less than 80 percent of the effective area of a safe school zone sign must be devoted to a governmental message."
"SEC. 51A-7.207_2_4","(4)   No more than 20 percent of the effective area of a safe school zone sign may be devoted to the identification of a sponsor.  (Ord. Nos. 19455; 20927; 22061; 22392)"
"SEC. 51A-7.208","CREATION OF SITE."
"SEC. 51A-7.208_1","The building official shall not issue a permit for construction, erection, placement, or maintenance of a sign until a site is established in one of the following ways:"
"SEC. 51A-7.208_1","(a)   A lot is part of a plat which is approved by the commission and filed in the plat records of the appropriate county. All platted lots must have frontage, through fee simple ownership, on a dedicated street."
"SEC. 51A-7.208_2","(b)   A lot was separately owned prior to September 11, 1929 or prior to annexation or consolidation, and the lot has frontage, through fee simple ownership, on a dedicated street."
"SEC. 51A-7.208_3","(c)   A lot is part of an industrial subdivision in which only streets, easements, and blocks are delineated. The industrial subdivision must be approved by the commission and filed in the plat records of the appropriate county. No specific lot delineation is required, but yard, lot and space requirements will be determined by property lines or lease lines."
"SEC. 51A-7.208_4","(d)   Tracts that are governed by a detached sign unity agreement in accordance with Section 51A-7.213. (Ord. Nos. 19455, 21797)"
"SEC. 51A-7.209","SIGNS DISPLAYING NONCOMMERCIAL MESSAGES."
"SEC. 51A-7.209_1","(a)   Notwithstanding any other provision of this article, any sign that may display a commercial message may also display a noncommercial message, either in place of or in addition to the commercial message, so long as the sign complies with other requirements of this article or other ordinances that do not pertain to the content of the message displayed."
"SEC. 51A-7.209_2","(b)   Notwithstanding any other provision of this article, or other ordinance, any sign that may display one type of noncommercial message may also display any other type of noncommercial message, so long as the sign complies with other requirements of this article or other ordinances that do not pertain to the content of the message displayed."
"SEC. 51A-7.209_3","(c)   Nothing in this article shall be construed to regulate a sign that contains primarily a political message for which a permit is not required under Section 51A-7.602.  (Ord. Nos. 19455; 25921)"
"SEC. 51A-7.210","GENERAL MAINTENANCE."
"SEC. 51A-7.210_1","(a)   Sign and sign supports must be maintained in a state of good repair and neat appearance at all times."
"SEC. 51A-7.210_2","(b)   Revocation of permit."
"SEC. 51A-7.210_2_1","(1)   The building official shall revoke, in writing, the sign permit for a sign if it has for a period of one year:"
"SEC. 51A-7.210_2_1_1","(A)   displayed obsolete advertising matter;"
"SEC. 51A-7.210_2_1_2","(B)   been without advertising matter; or"
"SEC. 51A-7.210_2_1_3","(C)   been damaged in excess of 50 percent of the cost of replacement of the sign."
"SEC. 51A-7.210_2_2","(2)   The owner of the sign is liable to the city for a civil penalty in the amount of $200 a day for each calendar day that the sign is maintained without a permit. The building official shall give written notice to the property owner of the amount owed to the city in civil penalties, and shall notify the city attorney of any unpaid civil penalty. The city attorney shall collect unpaid civil penalties in a suit on the city’s behalf."
"SEC. 51A-7.210_2_3","(3)   The civil penalty provided for in Paragraph (2) is in addition to any other enforcement remedy the city may have under city ordinances and state law.  (Ord. Nos. 20359; 24232)"
"SEC. 51A-7.211","SIGNS ATTACHED TO STRUCTURES LOCATED ON BUILDINGS."
"SEC. 51A-7.211_1","(a)   Except as provided in Paragraph (b), no sign may be attached to the following structures located on a building:"
"SEC. 51A-7.211_1_1","(1)   Elevator penthouse or bulkhead."
"SEC. 51A-7.211_1_2","(2)   Mechanical equipment room."
"SEC. 51A-7.211_1_3","(3)   Cooling tower."
"SEC. 51A-7.211_1_4","(4)   Tank designed to hold liquid."
"SEC. 51A-7.211_1_5","(5)   Ornamental cupola or dome."
"SEC. 51A-7.211_1_6","(6)   Skylight."
"SEC. 51A-7.211_1_7","(7)   Clerestory."
"SEC. 51A-7.211_1_8","(8)   Visual screens which surround roof mounted mechanical equipment."
"SEC. 51A-7.211_1_9","(9)   Chimney and vent stacks."
"SEC. 51A-7.211_1_10","(10)   Amateur communications tower."
"SEC. 51A-7.211_1_11","(11)   Parapet wall over four feet."
"SEC. 51A-7.211_1_12","(12)   Storage facility."
"SEC. 51A-7.211_2","(b)   A sign may be attached to a structure located on a building if the sign refers exclusively to:"
"SEC. 51A-7.211_2_1","(1)   the identification of the premise; or"
"SEC. 51A-7.211_2_2","(2)   a tenant that occupies in excess of 50 percent of the floor area of the premise.  (Ord. 20343)"
"SEC. 51A-7.212","STREET CONSTRUCTION ALLEVIATION SIGNS."
"SEC. 51A-7.212_1","(a)   Definitions.  In this section, unless the context clearly indicates otherwise:"
"SEC. 51A-7.212_1_1","(1)   CONSTRUCTION means major activity involving on-site excavation, fabrication, erection, alteration, repair, or demolition that materially alters or restricts access to a premise."
"SEC. 51A-7.212_1_2","(2)   DIRECTOR means the director of transportation of the city or the director's designated representative, including but not limited to the city's traffic engineer."
"SEC. 51A-7.212_1_3","(3)   ERECT means erect or maintain."
"SEC. 51A-7.212_1_4","(4)   OPERATOR means a person who causes a use or business to function or puts or keeps a use or business in operation. A person need not have an ownership interest in a use or business to be an “operator” of the use or business for purposes of this section."
"SEC. 51A-7.212_1_5","(5)   OWNER includes any part owner, joint owner, tenant in common, tenant in partnership, joint tenant, tenant by the entirety, or lessee."
"SEC. 51A-7.212_1_6","(6)   SIGN means a sign authorized to be erected or maintained under this section."
"SEC. 51A-7.212_1_7","(7)   STREET means a street more than 85 feet in width, including frontage roads, if applicable. “Frontage Road” means a frontage, access, or service road for a freeway or tollway."
"SEC. 51A-7.212_2","(b)   Purpose.  The purpose of this section is to promote the health, safety, morals, and general welfare of the city in order to lessen the congestion in the streets; to improve communications efficiency by allowing businesses to identify themselves and by helping customers to locate these businesses; to promote the safety of persons and property by reducing the confusion created by street construction; and to preserve landscape quality by imposing uniform standards. This section is not intended to apply to temporary minor repairs to streets."
"SEC. 51A-7.212_3","(c)   Authority to erect.  In addition to any other signs permitted under this chapter, up to two detached premise signs may be erected on a premise if:"
"SEC. 51A-7.212_3_1","(1)   the premise contains at least one main use other than a single family or duplex use;"
"SEC. 51A-7.212_3_2","(2)   the premise has frontage along that portion of a street under construction as defined in Subsection (a); and"
"SEC. 51A-7.212_3_3","(3)   the director has given written notice in accordance with Subsection (d)."
"SEC. 51A-7.212_4","(d)   Notice required to be given by the director.  Whenever the director determines that construction of a street, as defined in this section, is imminent, the director shall serve a written notice for the purpose of authorizing the erection of signs in accordance with this section. The written notice may be hand-delivered, sent by mail, or published in the official newspaper of the city. In order to validly authorize a sign under this section, the notice must:"
"SEC. 51A-7.212_4_1","(1)   contain a reference to or copy of this section;"
"SEC. 51A-7.212_4_2","(2)   describe with specificity the portion of the street that is or will be under construction;"
"SEC. 51A-7.212_4_3","(3)   contain estimated commencement and completion dates for the construction; and"
"SEC. 51A-7.212_4_4","(4)   contain a statement that no sign may be erected or maintained on a premise:"
"SEC. 51A-7.212_4_4_1","(A)   more than five days before the estimated construction commencement date stated in the notice; or"
"SEC. 51A-7.212_4_4_2","(B)   more than five days after the estimated construction completion date stated in the notice."
"SEC. 51A-7.212_5","(e)   Time period when sign authorized. This section only authorizes signs to be placed on property adjacent to that portion of a street described in the notice given pursuant to Subsection (d) during the time period beginning five days before the estimated construction commencement date stated in the notice and ending five days after the estimated construction completion date stated in the notice. No sign may be erected or maintained on a premise:"
"SEC. 51A-7.212_5_1","(1)   more than five days before the estimated construction commencement date stated in the notice; or"
"SEC. 51A-7.212_5_2","(2)   more than five days after the estimated construction completion date stated in the notice."
"SEC. 51A-7.212_5_2_1","The director may change the time period for erecting and maintaining signs under this section at any time by giving a new notice in accordance with Subsection (d)."
"SEC. 51A-7.212_6","(f)   Physical requirements for sign.  All signs must comply with the following paragraphs:"
"SEC. 51A-7.212_6_1","(1)   No more than two signs may be erected on a premise. No more than one sign may be erected at any motor vehicle entrance to a premise."
"SEC. 51A-7.212_6_2","(2)   No setback is required for a sign; however, no sign may be located in a public right-of-way. If a sign is placed in a visibility triangle as defined in Section 51A-4.602(d), it shall be a defense to prosecution under that section that the sign does not constitute a traffic hazard."
"SEC. 51A-7.212_6_3","(3)   The sign must be visible from and oriented towards the street under construction and have an arrow that directs motorists to a motor vehicle entrance to the premise."
